,Title,Context,Unnamed: 2,Length,Category,Countries mentioned,Top5-Hot-Words,Organizations,URL,Release Date
51,商机遍地但成本高 巴新财长：要攻克这些难关,【南太之声编译报道】巴布亚新几内亚财政部长斯塔基（Ian Ling-Stuckey）近日承认，在巴新做生意的成本很高，“但机会也很多”。巴新《国民报》3月27日报道，斯塔基是在回答媒体关于为什么做生意的成本高，政府能否一次性解决外汇的问题。他说:“巴新的成本确实比许多其他国家高，但机会也多。强大的商业机会意味着可以在支付高成本的同时获得良好的利润。为什么太高了？巴新的地理位置增加了成本。”他指出，“崎岖的山脉、众多的岛屿、强降雨都使道路昂贵且难以维护，使产品难以从农场运往市场，尤其是国际市场。”他补充说：“还有一些问题，比如没有足够的竞争来保持低价。同时一些国有企业效率低下。有时候，政府试图去做一些最好留给私营部门的事情。另外还有腐败问题。政府正在努力解决这些问题。”他说，最新的商业优势100名首席执行官（Business Advantage100CEO）调查显示，企业认为巴新的环境有利于开展业务。“从他们对利润、投资和更多就业的乐观前景来看，这一点非常明显。企业最终都是为了盈利，对许多人来说，是为了支持更广泛的社区。”斯塔基表示，政府正在努力寻找解决外汇短缺的长期方案。企业表示，外汇短缺是在巴新开展业务的最大障碍。（周晓编译）,,522,其他,巴布亚新几内亚,巴新 成本 政府 问题 企业 ,联合国 亚太经合组织 世界贸易组织 世界银行 国际货币基金组织。,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649228581&idx=3&sn=e9fb36e6c6aa5971530dbf8eba995cd4&chksm=bef6d81389815105e1566f09e41efbc785216ca4e26f3ef8decf6114e20f722e6b82d1cc1109#rd,1680935078
",2023.4.1
70,天然气不能停！未来20年，巴新经济就靠它了,【南太之声编译报道】巴布亚新几内亚石油和能源部长库阿（Kerenga Kua）近日表示，巴新液化天然气项目将在未来20至25年的生产周期中带来750亿基那（约合213.04亿美元）的收入。巴新《国民报》13日报道，库阿表示，宣布启动前端工程设计（Feed）对苦苦挣扎的巴新经济来说是个好消息。“我们还没有颁发开发许可证，但我们会的，我们需要巴新民众和所有利益相关者的支持。”他继续指出，“巴新及其利益相关者将能够在整个项目的生产周期中获得大约750亿基那，这是一大笔钱。”他强调，“该项目预计将在20至25年内产生效益，届时我们将从该项目中获得巨大收益。你可以把它分摊到20年，期间你会看到我们每年会获得多少收益。这些收益包括国家获得的，通过Kumul石油控股有限公司（KPHL）获得的，以及国家直接征收的，土地所有者的特许权使用费，省级政府的，我们所有人的加在一起，将在未来20年左右的时间里收集和共享。”据了解，开发项目的预计成本（或资本支出）为100亿美元，预计在项目生产周期内产生的成本毛收入约为618亿美元。合资企业和国家的项目现金流净额分别为225亿美元和64亿美元。,,490,其他,巴布亚新几内亚 美国,项目 巴新 美元 获得 未来 ,Kumul石油控股有限公司（KPHL）,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649228510&idx=4&sn=5d9a8b97072e8a145cedf35c82438e69&chksm=bef6d9e8898150fe50f10f19ed4f5b89d6756c08b34dc1f35c2e0b9fd29c3523465ca26c73ba#rd,1680258645
",2023.3.21
71,继续增加内阁成员名额！巴新官方又发话了,【南太之声编译报道】巴布亚新几内亚政府在从14日开始的为期两周的议会会议上，通过修改《2002年总理及国家行政委员会法》以扩大现有33名内阁成员的规模。巴新《国民报》报道，政府事务负责人佩塔（Rainbo Paita）表示，议会的主要议程包括对《监察员委员会法案》的讨论和对《总理和国家行政委员会法》的修正。议会还于15日为总督达达埃爵士（Sir Bob Dadae）举行连任宣誓仪式。另外，佩塔表示总理马拉佩（Marape）已经指示所有部长提交所在部门或机构的年度报告。因此，预计会有很多部长声明。他说，财长斯塔基（Ian Ling-Stuckey）预计将发表“经济状况”讲话，其中包括关于Puma能源公司和巴新银行问题的最新进展。他说:“其他部长也将发表声明，说明他们的机构和部门在过去一年的表现，以便向议会和全国通报情况。”此外，佩塔表示，增加内阁人量是由于工作量的增加。,,389,其他,巴布亚新几内亚 新几内亚,议会 增加 内阁 巴新 总理 ,联合国 亚太经合组织 世界银行 国际货币基金组织 世界贸易组织 联合国开发计划署 联合国教科文组织 联合国粮食及农业组织 联合国环境规划署 联合国难民署 联合国儿童基金会 联合国人口基金会 联合国犯罪及司法署 联合国经济及社会理事会 联合国人权理事会 联合国安全理事会 联合国教育 科学及文化组织 联合国贸易及发展会议 联合国工业发展组织 联合国粮农组织 联合国经济及社会文化组织 联合国贸易及发展会议 联合国经济及社会理事会 联合国人权理事会 联合国安全理事会 联合国教育 科学及文化组织 联合国贸易及发展会议 联合国工业发展组织 联合国粮农组织 联合国经济及社会文化组织 联合国贸易及发展会议 联合国经济及社会理事会 联合国人权理事会 联合国安全理事会 联合国教育 科学及文化组织 联合国贸易及发展会议 联合国工业发展组织 联合国粮农组织 联合国经济及社会文化组织 联合国贸易及发展会议 联合国经济及社会理事会 联合国人权理事会 联合国安全理事会 联合国教育 科学及文化组织 联合国贸易及发展会议 联合国工业发展组织 联,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649228510&idx=5&sn=1a8d1f46ed8dc2fc1c3e08361b421c4a&chksm=bef6d9e8898150fe90af7affc172a9db39814ce5b08e32d8863e4b9544d1d3c95051e2203e88#rd,1680258645
",2023.3.20
75,追加拨款！瓦国选区这次有福了,图为瓦努阿图议会议员现在将获得更多的资金以满足其选民的需求。（图/《瓦国日报》网站截图）【南太之声编译报道】瓦努阿图议会议员现在将获得更多的资金以满足其选民的需求。《瓦国日报》11日报道，议员现在将有权获得500万瓦图（约合4.23万美元）作为他们的议会议员分配基金。这是在前几年议员获得300万瓦图（约合2.54万美元）拨款的基础上，又增加了200万瓦图（约合1.69万美元）。总理卡尔萨考（Ishmael Kalsakau）提出的《2023年议员开支和津贴修正法案》在2023年第一次特别会议期间得到了51名议员的一致投票支持。增加拨款是由于选区的需要和议员遇到了困难。2023年部长级预算委员会也审议并批准了增加拨款，以便议员们能够获得并为其选区服务。为了确保问责制，议会还将提交另一项法案，以修订《领导准则》。这将要求议员每年报告并证明他们在选区内合理公平地使用拨款。如果不报告开支情况，将被追究违反《领导准则》的责任。Tanna议员纳普阿特（Andrew Napuat）提醒议员们，拨款基金不是为他们而设，而是为他们选区的民众而设。增加拨款将确保议员们能够更好地为他们的选民服务，满足他们的需求。,,503,其他,瓦努阿图,议员 拨款 选区 获得 议会 ,,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649228439&idx=2&sn=b11234fbb81214669b75afc47f676a91&chksm=bef6d9a1898150b797d33cabd26ae7a445a2ea8eba37db36f5b9ec4fdcc6afe6f49634df1fa6#rd,1679731520
",2023.3.17
86,登革热、疟疾……蚊媒疾病为何在太平洋广泛传播？,【南太之声编译报道】气候变化预测者多年来一直警告说，气候危机造成的更温暖、更潮湿的世界将导致疟疾和登革热等蚊媒疾病的激增。如今在太平洋岛屿上，这样的预测正在成为现实。太平洋岛屿新闻协会网2月28日报道，世界卫生组织的疾病监测显示，所罗门群岛的疟疾病例在2015年至2021年间上升了40%，巴布亚新几内亚的疟疾发病率在同一时期也上升了5%，相关死亡人数增加了25%。“我们非常担心蚊媒疾病的传播，因为它们是严重的公共卫生问题。登革热引起越来越多的关注，因为它可能导致登革出血热，从而导致死亡。此外，寨卡病毒最近也出现了。有证据表明它可以导致婴儿产生先天性缺陷，”太平洋共同体斐济公共卫生机构高级流行病学家萨科塔（Salanieta Saketa）指出。萨科塔补充说：“气候变化是一个重要因素。事实已经证明，蚊媒疾病是对气候非常敏感的疾病。这是我们在该地区看到的情况；它们在灾难、飓风和气温上升之后出现。”澳大利亚凯恩斯的詹姆斯·库克大学热带健康与医学研究所的教授伯克特（Tom Burkot）认为，现在采取行动至关重要。“如果我们只是维持现状，太平洋地区蚊媒疾病的爆发可能会更加频繁，数量也会更多。为了防止这种情况发生，我们需要投资于新的战略，以控制蚊子，并治疗或预防人类感染，”伯克特说，他正在领导太平洋岛国与卫生研究机构之间的国际合作伙伴关系，以寻找对抗这些疾病的新方法。,,588,其他,所罗门群岛 巴布亚新几内亚 澳大利亚 凯恩斯,疾病 太平洋 蚊媒 疟疾 气候 ,世界卫生组织 太平洋共同体 詹姆斯·库克大学热带健康与医学研究所 太平洋岛国与卫生研究机构之间的国际合作伙伴关系,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649228348&idx=2&sn=d2c6a0b7bb37bd58b725abfad545678a&chksm=bef6d90a8981501cba59e71c8e7407029a4ddefe8481894de5cd8c7601a022877fa52398dea8#rd,1679115291
",2023.3.9
87,今年太平洋经济恢复前景如何？世行发布最新调查研究,【南太之声编译报道】世界银行（World Bank）2月28日发布的最新经济报告对太平洋经济体进行了深入研究。世行表示，在经历了近三年的经济收缩后，尽管仍面临挑战，太平洋经济体有望在今年恢复增长。今年所有太平洋国家都将出现经济增长世界银行官网报道，尽管预计经济复苏将持续，但财政收支平衡、债务可持续性和通货膨胀仍将是令人担忧的问题。太平洋国家将需要考虑改革和政策，以促进公平增长和可持续投资，同时在支持生计和减少未来公共债务风险之间取得谨慎的平衡。世行当日在斐济苏瓦发布的首份《太平洋经济最新报告》中详细阐述了上述展望，这是一份对11个太平洋岛国经济体的全面评估和前瞻性预测。尽管预计所有太平洋国家的国内生产总值（GDP）在2023年都将增长，在旅游业复苏的支持下，帕劳等一些国家的GDP将出现更大的反弹，增长约18%。其他国家，如所罗门群岛，预计将增长较慢，增幅约为2.3%。新冠疫情对经济的影响持续存在世行太平洋地区首席经济学家古尔德（David Gould）表示:“在2019年遭受疫情的严重打击后，2022年出现了不温不火的复苏迹象，太平洋经济体有望在2023年实现增长，但对许多人来说，他们不会觉得回到了疫情前的时代。例如，斐济在经历了三年的经济收缩后，预计2022年的增长率已攀升至15%，但在2024年之前，产出预计仍将低于2019年的水平。”太平洋地区受到俄乌冲突的影响报告指出，俄乌冲突对全球经济造成的严重影响导致太平洋经济体的增长低于预期。报告还预计，通胀压力将在2023年上半年达到峰值，除萨摩亚外的每个太平洋岛国的消费价格都将下降，萨摩亚的通胀率可能在今年下半年达到12%，然后在2024年下降。政策制定者应促进经济可持续增长“疫情缓解措施导致太平洋各国政府扩大了支出。为了降低陷入有问题的债务状况的可能性，太平洋各国政府现在应该考虑如何合理地降低成本，并开始负责任地放开疫情期间的支持。”,,807,其他, 帕劳 所罗门群岛 萨摩亚,太平洋 经济 增长 预计 经济体 ,世界银行 亚太经合组织 联合国,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649228348&idx=3&sn=68724719ff93b05997265e5dcf811a6a&chksm=bef6d90a8981501ce8aaf01428df0718541296a6081890a5b9acbe5e56b474975850272a1ba2#rd,1679115291
",2023.3.8
91,瓦努阿图海燕是该国的特有物种吗？,【南太之声编译报道】澳大利亚莫纳什大学的一名博士生近日正在瓦努阿图的瓦努阿拉瓦岛（Vanualava Island）上对瓦努阿图海燕进行研究，以调查这种鸟是否真的是该地区的“原住民”。《瓦国日报》2月25日报道，瓦努阿图海燕是罕见的，很难识别，这种海燕只在瓦努阿图北部瓦努阿图熔岩陡峭的植被山坡上繁殖。尽管第一个已知的繁殖地点是2009年在瓦努阿拉瓦岛上发现的，但据报道，它也在梅拉拉瓦岛（Merelava Island）上繁殖。这种鲜为人知的海燕于2001年首次被科学地记录下来，基于1927年在梅拉拉瓦岛附近获得的六个样本，以及1983年在澳大利亚新南威尔士州陆地上发现的一只鸟。这些鸟是优秀的飞行家，翼展可达2米(7英尺)。它们因其不寻常的活动而闻名，即在水面上“赛跑”，同时扇动翅膀，直到它们获得足够的速度才能飞行。2021年，环境部收到了位于瓦努阿拉瓦岛西部的村庄Vetimboso社区的请求。他们很想知道什么样的鸟在陆地上过夜，白天飞到海里，以保护这种鸟。环境部生物多样性和保护首席官员巴雷奥(rolena Tavue Bareleo)说，她后来向国际鸟盟（Birdlife International）提交了申请，因为她知道瓦努阿图水域有两种海燕，她认为其中一种是该岛国的特有物种。她说:“这种特有的海燕被认为是托尔巴省独有的，然而来自其他国家的科学家认为，领圆尾鹱（collared petrel）和瓦努阿图海燕是同一物种。”巴雷奥补充说，正在进行的调查将帮助他们确认瓦努阿图海燕是本土物种，并确定这只鸟在一天内能飞多远，飞到哪里。这项研究将有助于更多地了解这种鸟类的生物学特性，以便保护它们，并为社区和省政府提供准确的信息。,,721,其他,澳大利亚 瓦努阿图 新南威尔士州,瓦努阿图 海燕 这种 物种 特有 ,国际鸟盟（BirdlifeInternational）,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649228323&idx=1&sn=226481ad1e9ff4631f21d36a41e4e829&chksm=bef6d91589815003b134a326b9fbec945cd74cc988eabee9718f982632e2ee50645a50469a4a#rd,1679042056
",2023.3.3
98,确保燃料供应不断 巴新寻找新能源方案,【南太之声编译报道】巴布亚新几内亚代理总理罗索（John Rosso）近日向居民和企业保证，巴新银行（BPNG）和彪马能源（PUMA）之间已经达成了一项短期安排，在解决BPNG的监管要求的同时继续供应燃料。Sunday Bulletin网21日报道，罗索澄清说，巴新银行和彪马能源之间的问题不是缺乏外汇，而是由于巴新银行的规定，现在彪马能源同意与巴新银行合作解决这个问题。他补充说，在外汇储备方面，巴新银行已向他保证，有130亿基那（约合36.9亿美元）的外汇储备。与此同时，该国的燃料危机迫使政府寻找短期和长期的解决方案，以解决供应垄断和燃料安全问题。政府目前正在与库马尔石油控股有限公司（KPL）和三家跨国石油公司——埃克森美孚（ExxonMobil）、道达尔能源（TotalEnergies）和桑托斯（Santos）——以及矿产资源管理局进行认真讨论，以找到解决该国燃料短缺和供应的解决方案。据悉，总理马拉佩（James Marape）将很快宣布一项重大决定，即立即供应燃料，并在当地建设一个下游加工的炼油厂，确保国内市场的（燃料供应得到）长期解决。,,478,其他,巴布亚新几内亚 美国 法国 澳大利亚,燃料 解决 供应 巴新 能源 ,BPNG PUMA KPL ExxonMobil TotalEnergies Santos 矿产资源管理局,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649228280&idx=1&sn=55e332718a67d08dbc9dffb3aed26005&chksm=bef6dece898157d8a772160bebede1ba110df82994a9bc518dba3e0cfd0e9e7f83416731c6f2#rd,1678477407
",2023.2.25
105,许可证申领有严格要求 瓦国大麻经营者将面临尽职调查,【南太之声编译报道】希望进入瓦努阿图医用大麻和工业大麻市场的投资者近日将面临彻底的尽职调查程序。《瓦国日报》11日报道，农业、畜牧业、林业、渔业和生物安全部（MALFFB）总干事兼医用大麻和工业大麻咨询委员会主席阿莫斯（Moses Amos）解释说，尽职调查将从许可证申请开始。据悉，该部门8日签署了进口、种植、加工和出口医用大麻和工业大麻的条例。该条例希望在瓦努阿图合法种植大麻和大麻用于医疗和工业目的的个人或企业，可在法规在政府公报上公布后申请获得许可证。该条例还规定了许可证持有人在进口、种植、收获、生产和出口所需的标准。此外，许可证持有人必须申领许可证才能经营，并需要提交各种文件随申请一并递交，例如银行结单证明、至少10年的经验证明、商业计划书、土地拥有证明及土地租赁合同的副本。根据《医用大麻和工业大麻法》，许可证持有人必须每年支付1000万瓦图（约合8.72万美元）的许可证费。每张许可证的有效期为10年。医用大麻和工业大麻咨询委员会主席保证，大麻合法化将受到严格控制，只用于医疗和工业目的。阿莫斯还表示，一旦政府完全了解业务运作方式，许可证数量可能会增加。（周晓编译）,,492,其他,瓦努阿图,大麻 许可证 工业 医用 尽职 ,,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649228253&idx=3&sn=66069f54ab032c901b1ed3b2c3f30ae5&chksm=bef6deeb898157fd12ccd13e9ed7b1c583e4d54b42cffafa0b237447f79ac41ea13a7e9b5148#rd,1678408600
",2023.2.20
110,“资金援助仍在预算范围内” 巴新总理称将成立监督机构,【南太之声编译报道】巴新总理马拉佩（James Marape）近日表示，为96个地区各增加1000万基那（约合284.27万美元）的拨款处于“预算范围内”。巴新《国民报》13日报道，马拉佩澄清说，此举并不是增加地区服务改善计划（DSIP）的资金，每个地区的资金仍保持在1000万基那。他说:“我们已经为地区基础设施额外拨款500万基那（约合142.13万美元），如果该项目与政府重点关注的教育、卫生、道路、桥梁、码头、电力和改善法律和秩序状况等领域相辅相成，政府将再拨款500万基那。”马拉佩说，政府的重点是改善教育、卫生、基础设施、法律和秩序以及人们参与商业活动。“为了确保这些重点领域发挥最大影响，并尽可能多地惠及我们的人民，我们增加了DSIP，以便地区发展当局和省政府有资金实施他们的计划。马拉佩宣布成立一个国家监督机构，以确保这些资金用于预定用途。但反对派副领袖托穆里萨（Douglas Tomuriesa）表示，在经济好转之前，应该搁置向96个地区增加1000万基那资金的计划。他说:“是的，我们需要这些地区的资金，但政府必须坚持自己的预算，不要再以增加DSIP资金的承诺给议员们带来虚假的希望。”（周晓编译）,,510,其他,巴新 美国,资金 地区 增加 马拉佩 政府 ,DSIP（地区服务改善计划）,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649228219&idx=2&sn=4af12e2af0d76fbdcb3a47c4cc5ddf37&chksm=bef6de8d8981579baebd1b68fe1e489c0fb88242dbd87310fcc9016ef09c5cce7672f7d0afc8#rd,1677960973
",2023.2.18
114,政府只想分一杯羹？巴新专家吁改善问责制,【南太之声编译报道】巴布亚新几内亚国家事务研究所执行主任巴克（Paul Barker）近日表示，政府必须为商业和经济发展创造适当的条件，为民众创造更多的就业机会。巴新《国民报》7日报道，他说，在全国近1400个公共机构中，很少有机构履行政府的核心职能。这些职能包括法律和秩序、基础设施保障、优质教育和卫生服务，以及为公民行使可靠的监管职能，并为商业和经济发展创造适当的条件。但巴克说：“创造就业的(选项)被广泛回避。政府实行赞助制度，试图运营或控制企业，并以平行预算管理资金，同时削减和改变规则、执照和许可，造成严重的商业不确定性和风险，而此时商业稳定、降低企业风险和成本对创造投资和就业至关重要，无论对大小企业都是如此。”巴克表示，不幸的是，政府“经常认为自己的角色是挑选商业活动或开发工业区，在履行自己的核心职能时只想等着从中分一杯羹”。他敦促政府专注于资源，减少浪费，改善问责制，为投资者创造安全的条件。（周晓编译）,,411,其他,巴布亚新几内亚,政府 创造 商业 职能 巴克 ,联合国 亚太经合组织 世界银行 国际货币基金组织 世界贸易组织 亚太经济合作组织 世界卫生组织 联合国开发计划署。,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649228186&idx=1&sn=698483bb89a15b2c4f15401f32b75e91&chksm=bef6deac898157baef4ec2aa37ac0b9c9179a0a43a05a0719b4709514cef848854713a389f8a#rd,1677831532
",2023.2.13
122,瓦国首都治安堪忧？警方为社区献计,【南太之声编译报道】2023年的第一个月，瓦努阿图首都维拉港已经发生了多起青少年入室抢劫和路边袭击事件。《瓦国日报》2日报道，瓦努阿图警察部队（VPF）设在维拉港的重案组在1月的一周内记录了超过5起入室盗窃案件。对于此类事件，VPF呼吁公众采取额外的预防措施，照顾好自己的财产。然而，VPF希望提供一些积极的方法，以帮助社区保证其财产安全。首先，加强邻里守望计划很重要。一些社区已经开始实施邻里守望计划。公众必须确保他们的财产在任何时候都是安全的。家里物品必须放在或储存在安全的地方，避免这些物品成为小偷的目标。VPF还鼓励商业机构确保他们的财产和资金存放在安全的地方。VPF表示:“在营业时间结束后，现金必须始终存放在安全的地方。”（周晓编译）,,323,其他,瓦努阿图,VPF 安全 财产 社区 必须 ,VPF（瓦努阿图警察部队）,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649228152&idx=3&sn=b510a7d59ea7868212af515560747bd4&chksm=bef6de4e898157588f565e3f0410d5dac27727bd02925136f1d7144bf5435683b0e9b1980aaf#rd,1677393468
",2023.2.8
123,独立后首部完整外交法将出台！瓦国百日计划先拿外交“开刀”,【南太之声编译报道】瓦努阿图外交、国际合作和对外贸易部长纳帕特（Jotham Napat）近日宣布，一个新修订的国家外交政策框架是其部门百日工作计划的优先事项。《瓦国日报》3日报道，纳帕特表示，他打算采取更广泛的外交政策，在保持和加强现有关系的同时，超越目前传统的双边和区域伙伴关系和视野。修改后的外交政策将成为指导该部门履行职责的方针。“全球地缘政治环境已经并将继续变化。我们的政府必须执行以瓦努阿图国家和民众的最佳利益为首要考虑的外交政策方向。”他补充说，外交、国际合作和对外贸易部是政府最重要的部门之一，也是国家发展和经济增长的最大贡献者之一。“我们在促进国际合作和帮助投资方面努力的结果可以在国家发展的所有领域中看到。当我们制定自己的政策时，我们将优先考虑我们的民众。我们部门将继续与现有的国际合作伙伴建立良好的工作关系，同时确保调查、支持和鼓励所有促进国家繁荣的机会。”修订后的政策预计将于4月底起草完毕，这是自1980年独立以来首个完整的外交政策。（周晓编译）,,436,其他,瓦努阿图,外交 政策 国家 国际 合作 ,联合国 亚太计划,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649228152&idx=4&sn=b6c468cdf102194e93d8def4913ceee0&chksm=bef6de4e89815758e55fe65a3512e813d161f768ee53fc7adf0127599300bb9240d4eaef95c2#rd,1677393468
",2023.2.6
137,巴新外汇市场成交额上升17.3%,【南太之声编译报道】巴新银行（BPNG）干预力度的增加和大宗商品出口收入的增加推动了外汇成交额的增长。近日发布的《2022年南太平洋银行（BSP）第四季度太平洋经济和市场洞察报告》称，2022年巴新外汇市场成交额同比增长17.3%。巴新《国民报》23日报道，BSP集团财务总经理乔治（Rohan George）表示：“2022年的外汇成交量受到大宗商品价格走强的支撑，特别是石油、铜、棕榈油和咖啡。这些坚挺的大宗商品价格有助于抵消因关闭Porgera金矿而造成的外汇流入损失。BPNG在2022年四季度季度对外汇市场的干预比9月季度增加了51%。”他还提到，“为了管理外汇流动的波动性，企业应尽快下使用外汇交易的订单（并提供正确的文件），确保订单在等待执行时得到现金支持，确保清税证书是最新的，并反映出预期的外汇订单执行时间。”（萨琳编译）,,370,其他,巴新 南太,外汇 巴新 市场 2022年 成交额 ,南太平洋银行（BSP）,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649228082&idx=2&sn=c26ad8027af294ca2529e0c5ca914354&chksm=bef6de04898157121d1ade9729b4484f45bbba819678fcb3364989fdaf5ed75c34c33356e562#rd,1676701132
",2023.1.29
140,红树林养护刻不容缓 所国居民自发组织植树活动,【南太之声编译报道】所罗门群岛是一个拥有丰富陆地和海洋自然资源的国家。然而，近来的气候变化等自然灾害影响也给环境带来了重大变化。自然植被和森林受到影响。《所罗门星报》22日报道，沿着海岸线，丰富的自然植被之一是红树林。它是食物的重要来源，也为乡村家庭和社区提供福利。Buri有一个美丽的港口，为红树林的生长提供了理想的场所。因此，沿海岸的红树林里已经建起了大量的房屋。然而，由于气候变化带来的海平面上升的威胁增加，一些曾经干涸的土地现在被海洋覆盖。正因为如此，为了保护海岸线，一些村民决定主动在他们的海岸线前进行植树活动。居民朗森（O'Neil Ronson）在过去几个月里决定在他们家的海岸线前重新种植红树林。结果是值得的，因为新的植物已经长大了，看起来很健康。根据大自然保护协会（The Nature Conservancy）的说法，红树林对太平洋岛民很重要，因为它们有助于稳定海岸线生态系统，防止侵蚀。红树林为附近的居民区提供了天然的基础设施和保护，防止侵蚀，并在极端天气事件中吸收风暴潮的影响，如王潮和气旋。（周晓编译）,,464,其他,所罗门群岛,红树林 海岸线 自然 变化 影响 ,联合国 亚太计划 大自然保护协会,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649228082&idx=5&sn=7f3f88ce59bbf88f0a7cc61aa5c94a68&chksm=bef6de04898157125eff8d22f87920b5d0947e20b2f51eb7c5dcb093cb3da48c4e642fcfa99f#rd,1676701132
",2023.1.25
155,到2030年实现全域通电！瓦国清洁能源目标继续推进,图为瓦努阿图部分地区用上清洁能源。（图/《瓦国日报》网站截图）【南太之声编译报道】瓦努阿图能源部气候变化司近日达成了一项里程碑，关于疫情暴发时影响到的国家能源路线图（NERM）等政策实施。《瓦国日报》4日报道，疫情暴发影响了诸如“消除障碍实现国家能源路线图目标”(BRANTV）等项目，该项目旨在创造有利环境，以实现瓦努阿图国家能源路线图的目标，即到2030年实现100%的用电率。由于瓦努阿图从去年3月开始连续3个月实行全面封锁，今年的可再生能源技术系统安装计划被迫中断。尽管实行封锁，但推广清洁能源以减少柴油燃烧产生的温室气体排放，并以太阳能和水电系统等可再生能源技术替代的目标已深入瓦努阿图等太平洋岛民的思想，他们经历并生活在气候变化的不利影响中，决心向可再生能源过渡，为后代拯救环境。巨大的热情推动能源部通过BRANTV项目，仅在2022年在瓦努阿图的7个岛屿安装多达10个独立社区规模的光伏太阳能系统和家庭复合光伏太阳能纳米电网。这些举措成功地为2465人提供了服务，其中半数是妇女，她们可以直接获得可靠的清洁能源用于日常用电。除了家庭，这些可再生能源系统还直接连接到社区的基本公共机构和商业机构，为整个社区服务。（周晓编译）,,518,其他,瓦努阿图,能源 瓦努阿图 实现 清洁 目标 ,联合国国家能源路线图（NERM）消除障碍实现国家能源路线图目标（BRANTV）,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649227931&idx=1&sn=61f8708f2cbf482f20ab95adb9801f4f&chksm=bef6dfad898156bb8e11a8210c2ca96f517c5f8ce9e22b9b7747f97e510afae758f052d346c4#rd,1675471389
",2023.1.15
157,所罗门西部省新省长：任期首个百天内将出台新政,韦奥（Billy Veo）近日成为所罗门群岛西部省省长。（图/《所罗门星报》网页截图）【南太之声编译报道】韦奥（Billy Veo）近日成为所罗门群岛西部省省长。他也是第25选区——诺罗镇的省议员。《所罗门星报》9日报道，在种族紧张局势之后，韦奥长期在西部省从政。他在当选后表示，他的政府将确保在任期的第一个100天内准备好新政策。他强调了新政府政策将涵盖的一些领域，其中包括联邦制度、省级土地开发、卫生和与国家政府合作。他的政府将大力推行拟议中的联邦治理体系，因为这是一个由西部省牵头实施的国家项目。韦奥表示，该省所有归省级政府管辖的土地，新政府将确保这些土地归还给西部省，列入投资目录。“夺回属于该省的东西是我的政府的一项关键性优先政策。”在卫生领域，韦奥承诺确保医院和诊所全年都有足够的药品。他提到，卫生是经济和社区的一个重要领域，这意味着西部省必须努力按照卫生标准生活。他还感谢了每一位一线医疗和护理人员在新冠疫情最严重时期做出的巨大牺牲和承诺。那些在疫情期间为国家工作的人值得西部省公众的赞扬。韦奥表示，他还将与国家政府保持友好的工作关系，并承诺将与各部门扩大关系。西部省民众需要搁置分歧，开始共同努力，因为这是该省向前发展的唯一途径。（萨琳编译）,,529,其他,所罗门群岛,政府 西部省 韦奥 所罗门 卫生 ,联合国 亚太计划,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649227931&idx=3&sn=f3c0521085f87a6b14f9cd9f532a1c98&chksm=bef6dfad898156bbf08af979179d33dfb544fc83d25c38a35140b00a5a440a54dbf4c28d4b3e#rd,1675471389
",2023.1.15
